,Pos,Driver,Nationality,Car,PTS,Year
1176,8,Takuma Sato SAT,JPN,BAR Honda,34,2004
1177,9,Ralf Schumacher RSC,GER,Williams BMW,24,2004
1178,10,David Coulthard COU,GBR,McLaren Mercedes,24,2004
1179,11,Giancarlo Fisichella FIS,ITA,Sauber Petronas,22,2004
1180,12,Felipe Massa MAS,BRA,Sauber Petronas,12,2004
1181,13,Mark Webber WEB,AUS,Jaguar Cosworth,7,2004
1182,14,Olivier Panis PAN,FRA,Toyota,6,2004
1183,15,Antonio Pizzonia PIZ,BRA,Williams BMW,6,2004
1184,16,Christian Klien KLI,AUT,Jaguar Cosworth,3,2004
1185,17,Cristiano da Matta DAM,BRA,Toyota,3,2004
1186,18,Nick Heidfeld HEI,GER,Jordan Ford,3,2004
1187,19,Timo Glock GLO,GER,Jordan Ford,2,2004
1188,20,Zsolt Baumgartner BAU,HUN,Minardi Cosworth,1,2004
1189,21,Jacques Villeneuve VIL,CAN,Renault,0,2004
1190,22,Ricardo Zonta ZON,BRA,Toyota,0,2004
1191,23,Marc Gene GEN,ESP,Williams BMW,0,2004
1192,24,Giorgio Pantano PAN,ITA,Jordan Ford,0,2004
1193,25,Gianmaria Bruni BRU,ITA,Minardi Cosworth,0,2004
1194,1,Fernando Alonso ALO,ESP,Renault,133,2005
1195,2,Kimi Räikkönen RAI,FIN,McLaren Mercedes,112,2005
1196,3,Michael Schumacher MSC,GER,Ferrari,62,2005
1197,4,Juan Pablo Montoya MOY,COL,McLaren Mercedes,60,2005
1198,5,Giancarlo Fisichella FIS,ITA,Renault,58,2005
1199,6,Ralf Schumacher RSC,GER,Toyota,45,2005
1200,7,Jarno Trulli TRU,ITA,Toyota,43,2005
1201,8,Rubens Barrichello BAR,BRA,Ferrari,38,2005
1202,9,Jenson Button BUT,GBR,BAR Honda,37,2005
1203,10,Mark Webber WEB,AUS,Williams BMW,36,2005
1204,11,Nick Heidfeld HEI,GER,Williams BMW,28,2005
1205,12,David Coulthard COU,GBR,RBR Cosworth,24,2005
1206,13,Felipe Massa MAS,BRA,Sauber Petronas,11,2005
1207,14,Jacques Villeneuve VIL,CAN,Sauber Petronas,9,2005
1208,15,Christian Klien KLI,AUT,RBR Cosworth,9,2005
1209,16,Tiago Monteiro MON,POR,Jordan Toyota,7,2005
1210,17,Alexander Wurz WUR,AUT,McLaren Mercedes,6,2005
1211,18,Narain Karthikeyan KAR,IND,Jordan Toyota,5,2005
1212,19,Christijan Albers ALB,NED,Minardi Cosworth,4,2005
1213,20,Pedro de la Rosa DLR,ESP,McLaren Mercedes,4,2005
1214,21,Patrick Friesacher FRI,AUT,Minardi Cosworth,3,2005
1215,22,Antonio Pizzonia PIZ,BRA,Williams BMW,2,2005
1216,23,Takuma Sato SAT,JPN,BAR Honda,1,2005
1217,24,Vitantonio Liuzzi LIU,ITA,RBR Cosworth,1,2005
1218,25,Robert Doornbos DOO,MON,Minardi Cosworth,0,2005
1219,1,Fernando Alonso ALO,ESP,Renault,134,2006
1220,2,Michael Schumacher MSC,GER,Ferrari,121,2006
1221,3,Felipe Massa MAS,BRA,Ferrari,80,2006
1222,4,Giancarlo Fisichella FIS,ITA,Renault,72,2006
1223,5,Kimi Räikkönen RAI,FIN,McLaren Mercedes,65,2006
1224,6,Jenson Button BUT,GBR,Honda,56,2006
